"msaId","msa_Name","Lon","Lat","Res_pop","GDP","Bachelor_pct","Patent","FS_degree_scaled","Mob_degree","Pub_degree"
12020,"Athens-Clarke County, GA",-83.2138965,33.943984,213750,10618507,23,61,123446201,836483,4200
12060,"Atlanta-Sandy Springs-Alpharetta, GA",-84.3999113,33.693728,6020364,422189461,25,2972,2759702816,10185112,22821
12100,"Atlantic City-Hammonton, NJ",-74.6337591,39.4693555,263670,14718904,20,19,140748123,1693435,69
12220,"Auburn-Opelika, AL",-85.3530477,32.6040644,164542,6139434,21,41,70778602,837513,1660
12260,"Augusta-Richmond County, GA-SC",-81.9828327,33.4603713,608980,29709040,17,58,230146554,920943,781
12420,"Austin-Round Rock-Georgetown, TX",-97.6912697,30.2395128,2227083,159361291,28,3704,1029741554,4267316,12319
12540,"Bakersfield, CA",-118.7295064,35.3466288,900202,50261412,10,119,178797842,1973068,203
12580,"Baltimore-Columbia-Towson, MD",-76.5495009,39.304361,2800053,215487169,28,1071,1251467074,6208413,28434
12620,"Bangor, ME",-68.666616,45.4092843,152148,6967500,20,15,44387338,236336,714
12700,"Barnstable Town, MA",-70.2118803,41.7990145,212990,16094174,34,65,85360073,933248,1462
12940,"Baton Rouge, LA",-91.1255901,30.5187808,854884,56265028,18,86,367882367,1733124,6687
12980,"Battle Creek, MI",-85.0123853,42.2429896,134159,6642964,14,29,47906544,499156,93
13020,"Bay City, MI",-83.9787007,43.6997112,103126,3773205,14,23,29097860,428076,19
13140,"Beaumont-Port Arthur, TX",-94.2027049,30.0759278,392563,28331613,12,30,120323054,808620,19
13220,"Beckley, WV",-81.1644363,37.9053245,115767,4260302,13,6,23819066,308261,6
13380,"Bellingham, WA",-121.8364325,48.8426531,229247,15102906,22,95,82308424,510166,386
13460,"Bend, OR",-121.2255751,43.9151181,197692,10042937,24,91,82611843,475356,94
13740,"Billings, MT",-108.8323611,45.6371402,181667,10656973,21,17,49280816,233545,28
13780,"Binghamton, NY",-76.0229431,42.1639276,238691,12025082,19,84,64960718,452149,617
13820,"Birmingham-Hoover, AL",-86.7295151,33.4025986,1090435,63573271,21,149,474133398,2285601,4288
13900,"Bismarck, ND",-100.979592,46.887031,128949,7738451,23,19,39464312,195948,33
13980,"Blacksburg-Christiansburg, VA",-80.5591473,37.1201194,167531,7990773,21,105,81749474,515895,3809
14010,"Bloomington, IL",-88.8445391,40.4945594,171517,15348042,27,250,100683617,613345,491
14020,"Bloomington, IN",-86.6717544,39.2417362,169230,7700041,24,105,83240834,520366,7046
14100,"Bloomsburg-Berwick, PA",-76.4616535,41.0404036,83194,4624539,17,8,25496799,314395,514
14260,"Boise City, ID",-116.1419089,43.0066485,749202,37685004,20,892,233848538,808180,763
14460,"Boston-Cambridge-Newton, MA-NH",-71.0219925,42.517606,4873019,484620546,33,5824,1831810634,9032252,94902
14500,"Boulder, CO",-105.3976911,40.0949699,326196,30176559,40,1077,221660486,1595083,13473
14540,"Bowling Green, KY",-86.3970408,37.0468241,179240,7458673,17,25,64361094,380846,300
14740,"Bremerton-Silverdale-Port Orchard, WA",-122.6496339,47.6395948,271473,13983229,23,136,119589945,714941,79
14860,"Bridgeport-Stamford-Norwalk, CT",-73.3670614,41.2274128,943332,93201734,33,551,476884979,3076881,980
15180,"Brownsville-Harlingen, TX",-97.4789584,26.1029227,423163,11978930,10,7,46252930,994825,1907
15260,"Brunswick, GA",-81.5889087,31.3017391,118779,4985845,17,4,27885809,426460,9
15380,"Buffalo-Cheektowaga, NY",-78.7773351,43.0443711,1127983,73754236,23,212,251219878,1111329,4444
17140,"Cincinnati, OH-KY-IN",-84.4804072,39.0998213,2221208,153931926,22,1503,619653365,3235447,6273
17300,"Clarksville, TN-KY",-87.6243072,36.6957098,307820,12966258,15,11,153379902,642560,80
17420,"Cleveland, TN",-84.6550787,35.1381174,124942,5039649,14,12,39079251,478928,7
17460,"Cleveland-Elyria, OH",-81.7242168,41.7603919,2048449,135756216,22,1199,581016605,3229850,13719
17660,"Coeur d'Alene, ID",-116.6959222,47.6759658,165697,6697757,17,61,64839600,491846,21
17780,"College Station-Bryan, TX",-96.4885368,30.7543917,264728,13950819,20,100,101014401,796812,6953
17820,"Colorado Springs, CO",-104.6387277,38.8455072,745791,39007072,24,265,366527898,1307763,553
17860,"Columbia, MO",-92.5851888,38.9864864,208173,10552672,26,86,108023872,536176,2526
17900,"Columbia, SC",-81.0378453,34.0775845,838433,44265659,21,137,438732105,1719231,3474
17980,"Columbus, GA-AL",-84.8437095,32.4193768,321048,15956779,16,23,145850816,913085,20
18020,"Columbus, IN",-85.8979988,39.205843,83779,7045710,22,112,24237162,379959,20
18140,"Columbus, OH",-82.8359105,39.9685617,2122271,134342237,24,780,694417895,2638285,23691
18580,"Corpus Christi, TX",-97.5089575,27.8335972,429024,23673074,14,29,111568830,897882,421
18700,"Corvallis, OR",-123.4246641,44.4938816,93053,5005948,32,230,48582129,448351,4126
22220,"Fayetteville-Springdale-Rogers, AR",-94.0795449,36.1163935,534904,26664865,20,424,200400121,931015,1143
22380,"Flagstaff, AZ",-111.7737277,35.8296919,143476,7887058,21,81,66950881,873913,1470
22420,"Flint, MI",-83.7063718,43.0210768,405813,16833649,15,164,137757042,1179489,96
22500,"Florence, SC",-79.8061642,34.1535741,204911,10762620,15,43,72855695,501737,64
22520,"Florence-Muscle Shoals, AL",-87.7193881,34.7992544,147970,5514012,15,11,50784978,377989,15
22540,"Fond du Lac, WI",-88.493284,43.7547219,103403,5552333,16,66,40205232,354045,3
22660,"Fort Collins, CO",-105.4867638,40.6580933,356899,20736490,30,499,190430017,1320408,5195
22900,"Fort Smith, AR-OK",-94.2997413,35.4631192,250368,9789778,12,35,58908760,453844,35
23060,"Fort Wayne, IN",-85.2177047,41.1131166,413263,24084524,18,136,137317957,576663,63
23420,"Fresno, CA",-119.6550193,36.7610058,999101,50736641,13,67,202963068,2521220,3401
23540,"Gainesville, FL",-82.6274667,29.4807065,329128,16349642,23,213,164319230,890789,9223
23580,"Gainesville, GA",-83.8184997,34.3175689,204441,11123749,16,42,71457634,1016013,13
23900,"Gettysburg, PA",-77.2177296,39.8694707,103009,4071123,16,8,43437511,707851,25
18880,"Crestview-Fort Walton Beach-Destin, FL",-86.3676916,30.6410974,284809,16013983,20,30,128276120,1690471,161
19060,"Cumberland, MD-WV",-78.8070822,39.5321854,97284,4233524,13,3,22792973,241178,70
19100,"Dallas-Fort Worth-Arlington, TX",-96.9704894,32.8491708,7573136,523861973,22,4119,2587051150,8886262,15638
19140,"Dalton, GA",-84.856279,34.7969557,144724,7158426,9,13,32696078,490469,4
19180,"Danville, IL",-87.7267779,40.1867542,75758,3581970,10,2,25199984,277667,10
19300,"Daphne-Fairhope-Foley, AL",-87.7460666,30.6592183,223234,7223316,22,35,83376187,1392094,10
19340,"Davenport-Moline-Rock Island, IA-IL",-90.460076,41.3916799,379172,22717190,19,144,116047601,565527,82
19500,"Decatur, IL",-88.9615288,39.8602372,104009,7363464,15,23,40121587,311586,11
19660,"Deltona-Daytona Beach-Ormond Beach, FL",-81.1890231,29.1789002,668365,22268576,17,93,218083736,2081049,162
19740,"Denver-Aurora-Lakewood, CO",-104.9010728,39.434789,2967239,227395640,30,1739,1277119485,5165506,9790
19780,"Des Moines-West Des Moines, IA",-93.7597124,41.5770501,699292,52244598,24,347,234220628,962614,485
19820,"Detroit-Warren-Dearborn, MI",-83.2008463,42.7218478,4319629,269850041,22,3943,1135986773,5796278,6343
20020,"Dothan, AL",-85.4691904,31.2455283,149358,6768010,13,7,44791533,312691,1
20100,"Dover, DE",-75.5029819,39.0970884,180786,8370319,16,16,108771746,738306,63
20220,"Dubuque, IA",-90.8787708,42.4634808,97311,6552956,20,54,27589017,248113,5
20260,"Duluth, MN-WI",-92.1553326,47.3475056,288732,16911538,19,37,86499527,442388,705
20500,"Durham-Chapel Hill, NC",-78.9897875,36.0605886,644367,53748439,30,736,355502143,2053274,22149
20700,"East Stroudsburg, PA",-75.3290651,41.0562401,170271,7457481,17,19,98982605,942430,13
20740,"Eau Claire, WI",-91.2843222,44.9386719,169304,9655987,18,54,52628507,292014,51
20940,"El Centro, CA",-115.3554001,33.0408143,181215,9334680,9,6,26826409,470396,10
21060,"Elizabethtown-Fort Knox, KY",-85.9721707,37.7329803,153928,6092172,13,11,49305469,449050,3
21140,"Elkhart-Goshen, IN",-85.8639864,41.6006928,206341,16193156,12,49,63337209,603442,29
21300,"Elmira, NY",-76.7471791,42.1552804,83456,4135080,17,92,22492310,212393,28
21340,"El Paso, TX",-105.5213326,31.527394,844124,33235319,14,48,142882817,1207610,621
21500,"Erie, PA",-80.0963858,42.1179519,269728,12390616,19,94,66068716,404862,124
21660,"Eugene-Springfield, OR",-122.8976901,43.9283286,382067,17947872,20,117,137117512,697719,6436
21780,"Evansville, IN-KY",-87.5861659,38.0200703,315086,19460865,18,110,91166587,472316,100
22020,"Fargo, ND-MN",-96.9601826,46.9148591,246145,15549006,24,96,93101198,351603,505
22140,"Farmington, NM",-108.3245778,36.5116245,123958,5856995,10,8,28783993,219539,11
22180,"Fayetteville, NC",-78.93185,35.1559863,526719,22244892,15,19,231376899,614426,167
15500,"Burlington, NC",-79.4005733,36.0439535,169509,6471101,16,25,101702372,926672,45
15540,"Burlington-South Burlington, VT",-73.0411707,44.6891168,220411,14114657,30,207,82005944,315050,1693
15680,"California-Lexington Park, MD",-76.5303837,38.2202894,113510,7721512,21,6,68042404,479223,115
15940,"Canton-Massillon, OH",-81.261468,40.7110505,397520,19771905,16,166,119087426,1084733,48
